Date,Amount,Description,
Aug-28,453.99,Web Pmt- Remittance Remitly Inc,6
Aug-28,57.39,Web Pmt- ACH Pmt Amex Epayment M8886,5
1-Sep,650,Zel To Cleveland Premium Rentals,4
Sep-05,250.74,Web Pmt- ACH Pmt Amex Epayment M7152,5
Sep-05,150,Zel To Brandon Player,8
Sep-12,503.99,Web Pmt- Remittance Remitly Inc,6
Sep-12,297.88,Web Pmt- Payment Deserve Inc 1437817,1
Sep-15,3.49,Web Pmt- Payments,2
Sep-15,4,Zel To Sean RudolphPage 3 of,2
Apr-12,3.07,Direct Deposit - Transfer Paypal,2
Mar-19,18.88,7528 Debit Card Purchase DD Doordash,2
Mar-20,25,7528 Debit Card Purchase Paypal *Khan,2
Mar-21,149.81,7528 Debit Card Purchase Paypal *Khan,1
Mar-25,34.38,7528 Debit Card Purchase DD Doordash,2
Mar-27,3.4,7528 Debit Card Purchase Ba C-Store Cafe,2
Mar-29,52.52,7528 Debit Card Purchase Paypal *Khan,1
Mar-29,5,7528 Debit Card Purchase Paypal *Khan,1
1-Apr,28.62,7528 Debit Card Purchase DD Doordash,2
1-Apr,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Apr-02,6.72,7528 Recurring Debit Card Google,5
Apr-02,22,7528 Debit Card Purchase Paypal *Khan,1
Apr-05,105.84,7528 Debit Card Purchase Paypal *Khan,1
Apr-08,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Apr-08,64.98,7528 Debit Card Purchase Paypal *Khan,1
Apr-08,57.59,7528 Debit Card Purchase DD Doordash,2
Apr-08,30,7528 Debit Card Purchase Paypal *Khan,1
Apr-08,5,7528 Debit Card Purchase Paypal *Khan,1
Apr-10,17.88,7528 Debit Card Purchase DD Doordash,2
Apr-11,51.45,7528 Debit Card Purchase DD Doordash,2
Apr-11,69.57,7528 Debit Card Purchase Paypal *Khan,1
Apr-11,99,7528 Debit Card Purchase Paypal *Khan,1
Apr-12,40,7528 Debit Card Purchase Paypal *Unhcr,3
Apr-12,1.2,Intl Purch & Adv Fee   Vis 0410              Ch,5
Apr-15,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Mar-22,10,Web Pmt- IAT Paypal Maram Susli,3
Mar-25,85,Zel To Adam Gray,5
Mar-25,605.99,Web Pmt- Remittance Remitly Inc,6
Apr-02,8.48,Web Pmt- Inst Xfer Paypal Walmart Com,1
Apr-03,83.84,Web Pmt- Inst Xfer Paypal Walmartplus,1
Apr-04,736.14,Zel To Cleveland Premium Rentals,4
Apr-09,62.4,Web Pmt Recur- Payment Deserve Inc,1
Apr-10,66.96,Web Pmt- ACH Pmt Amex Epayment M9058,8
Apr-11,24.29,Web Pmt- Internet,5
Apr-11,64,Web Pmt- Inst Xfer Paypal Najaminstit Naj,5
Apr-11,36.14,Web Pmt- Inst Xfer Paypal Walmart Com,5
Aug-03,740,Deposit Reference No.  002534976,9
Aug-14,2.23,Direct Deposit - Transfer Paypal,9
Jul-31,400,Card Free ATM W/D PNC Euclid 9TH - 1,5
1-Aug,10.5,7528 Debit Card Purchase Cafe Ah Roma,2
Aug-02,4.03,7528 Debit Card Purchase Google,5
Aug-02,3.31,7528 Debit Card Purchase Laz Parking,5
Aug-02,57.02,7528 Debit Card Purchase Tst* Guarinos,2
Aug-02,400,Card Free ATM W/D Case Wstrn Bio Med,5
Aug-02,100,Card Free ATM W/D Case Wstrn Bio Med,5
Aug-03,7.5,7528 Debit Card Purchase Prestis Bakery,2
Aug-03,2.25,7528 Debit Card Purchase Cafe Ah Roma,2
Aug-04,4.5,7528 Debit Card Purchase Cafe Ah Roma,2
Aug-14,10,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Aug-14,20,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Aug-14,7.3,7528 Debit Card Purchase Starbucks Store,2
Aug-15,33.54,7528 Debit Card Purchase Tst* Aladdin's,2
Jul-31,303.99,Web Pmt- Remittance Remitly Inc,6
Aug-04,40,Zel To Cleveland Premium Rentals,4
Aug-07,52.74,Web Pmt- ACH Pmt Amex Epayment M0092,5
Aug-09,15,Web Pmt- Payment Deserve Inc 1437817,5
Aug-11,15,Zel To Sean Rudolph,2
Aug-14,269.84,Web Pmt- Payment Deserve Inc 1437817,1
Aug-14,42.05,Web Pmt- Inst Xfer Paypal Walmart Com,1
Aug-14,500,Web Pmt- Csupayment Cleveland State,7
Feb-06,50,Zel From Ornela B Doris,9
Jan-19,26.21,7528 Debit Card Purchase DD *Doordash,2
Jan-22,14.67,7528 Debit Card Purchase Lyft  855-8659553,5
Jan-22,26.01,7528 Debit Card Purchase DD Doordash,2
Jan-23,47.33,7528 Debit Card Purchase DD Doordash,2
Jan-25,20.99,7528 Debit Card Purchase DD Doordash,2
Jan-26,13.65,7528 Debit Card Purchase DD Doordash,2
Jan-29,20,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jan-29,82.05,7528 Debit Card Purchase DD Doordash,2
Jan-30,16.99,7528 Debit Card Purchase Lyft  855-8659553,5
Feb-02,6.49,7528 Recurring Debit Card Google*Gsuite,5
Feb-05,25.77,7528 Debit Card Purchase DD Doordash,2
Feb-05,10.82,7528 Debit Card Purchase Lyft  855-8659553,5
Feb-05,20,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Feb-07,23.98,7528 Debit Card Purchase DD Doordash,2
Feb-08,25.97,7528 Debit Card Purchase Tst* Cilantro,2
Feb-09,12.99,7528 Debit Card Purchase Lyft  855-8659553,5
Feb-12,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Feb-12,30.54,7528 Debit Card Purchase DD Doordash,2
Feb-12,49.68,7528 Debit Card Purchase Rumis Market &,2
Feb-13,15.17,7528 Debit Card Purchase DD Doordash,2
Feb-15,2.49,POS Purchase Walgreens Stor South Euclid,2
Jan-31,37.79,Web Pmt- Internet,5
Feb-07,100.61,Web Pmt- Payments,5
Feb-07,56.79,Web Pmt Recur- Payment Deserve Inc,1
Feb-12,728.28,Zel To Cleveland Premium Rentals,4
Feb-12,486.99,Web Pmt- Remittance Remitly Inc,6
Feb-12,74.13,Web Pmt- ACH Pmt Amex Epayment M1158,5
Jan-16,7.31,Direct Deposit - Transfer Paypal,5
Dec-18,20,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Dec-18,9.45,7528 Debit Card Purchase Chipotle 3828,2
Dec-18,22.49,7528 Debit Card Purchase Tst* Indian Flame,2
Dec-18,4.85,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-19,15.7,7528 Debit Card Purchase Rascal House,2
Dec-19,6.5,7528 Debit Card Purchase Insomnia Cookies-,2
Dec-20,5.97,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-21,12,7528 Debit Card Purchase Tst* Chopstick,2
Dec-21,12.15,7528 Debit Card Purchase Chipotle 3828,2
Dec-21,4.79,POS Purchase Walgreens Stor Cleveland He,2
Dec-26,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Dec-26,16.56,7528 Debit Card Purchase Rascal House,2
Dec-26,6.55,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-26,2.5,POS Purchase Dollar General Cleveland He,2
Dec-26,10.7,7528 Debit Card Purchase Paypal *Khan,5
Dec-26,12.8,7528 Debit Card Purchase Lyft  855-8659553,5
Dec-26,11.76,7528 Debit Card Purchase Rite Aid 03043,5
Dec-26,6.55,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-26,4.43,POS Purchase Dollar General Cleveland He,2
Dec-27,15.06,7528 Debit Card Purchase Rascal House,2
Dec-27,10.33,7528 Debit Card Purchase Subway 47775,2
Dec-27,5.58,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-28,24.13,7528 Debit Card Purchase Domino's 2145,2
Dec-29,104,7528 Debit Card Purchase Paypal *Khan,1
Dec-29,2,POS Purchase Dollar General Cleveland He,2
Jan-02,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jan-02,73.66,7528 Debit Card Purchase Tst* Indian Flame,2
Jan-02,4.79,POS Purchase Walgreens Stor Cleveland He,2
Jan-02,6.49,7528 Recurring Debit Card Google*Gsuite,5
Jan-04,1.75,POS Purchase Dollar General Cleveland He,2
Jan-05,27.33,7528 Debit Card Purchase Hunan Coventry,2
Jan-08,28.26,7528 Debit Card Purchase Subway 47302,2
Jan-08,9.56,7528 Debit Card Purchase Rascal House,2
Jan-08,53.96,7528 Debit Card Purchase Paraside Biryani,2
Jan-09,31.23,7528 Debit Card Purchase Domino's 2145,2
Jan-11,8.68,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Jan-12,10.48,POS Purchase Cedar Hill Rac Cleveland Oh,2
Jan-12,3.59,POS Purchase Dollar General Cleveland He,2
Jan-16,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jan-16,22.2,7528 Debit Card Purchase Gofundme Build,3
Jan-16,63.5,7528 Debit Card Purchase Rumis Market &,2
Jan-16,11.15,7528 Debit Card Purchase Paypal *Khan,2
Jan-16,7.54,7528 Debit Card Purchase Paypal *Khan,2
Dec-20,486.99,Web Pmt- Remittance Remitly Inc,6
Dec-20,3,Web Pmt- Inst Xfer Paypal Change Org,2
Dec-27,410,Web Pmt- Payment Filing Fee 6Pldjuovvc1,5
Dec-29,104,Web Pmt- IAT Paypal,5
Jan-02,730,Zel To Cleveland Premium Rentals,4
Jan-08,131.44,Web Pmt- IAT Paypal Gfm*Gofundme,3
Jan-09,40.81,Web Pmt Recur- Payment Deserve Inc,1
Jan-12,486.99,Web Pmt- Remittance Remitly Inc,6
Jan-16,367.25,Web Pmt- ACH Pmt Amex Epayment M7122,5
Jan-16,7.31,Web Pmt- Inst Xfer Paypal Walmart Com,5
Jan-17,167.42,Web Pmt- ACH Pmt Amex Epayment M4948,5
Jul-10,100,Reverse ACH Web-Recur,5
Jul-10,90,Card Free ATM Deposit 2015 Crocker Rd,9
Jul-13,7.27,7528 Debit Card Purchase Rascal House,2
Jul-14,2.6,7528 Debit Card Purchase,2
Jul-17,4.78,7528 Debit Card Purchase Rascal House,2
Jul-07,100,Web Pmt Recur- Payment Deserve Inc,1
Jul-12,100,ACH Tel Payment Deserve Inc 1437817,1
Jun-02,60,Zel From Ornela B Doris,9
May-17,67.51,7528 Debit Card Purchase West Town Village,2
May-18,3.6,7528 Debit Card Purchase,2
May-18,12.48,7528 Debit Card Purchase Shake Shack -,2
May-22,13.79,POS Purchase Aldi 63068 North Olmste Oh,1
May-22,18.96,7528 Debit Card Purchase Asian Imports,2
May-22,13.13,7528 Debit Card Purchase Olive Tree Middle,2
May-23,1.6,7528 Debit Card Purchase Flgc Vending,2
May-24,2.25,7528 Debit Card Purchase Joe Maxx Coffee -,2
May-24,2.6,7528 Debit Card Purchase,2
May-25,9.99,7528 Debit Card Purchase Subway 5293,2
May-26,6.3,POS Purchase Trader Joe S # Westlake Oh,2
May-30,4,POS Purchase Fresh Thyme #3 Westlake Oh,2
May-30,63.99,7528 Debit Card Purchase Remitly* Ceb7,2
Jun-05,11.93,7528 Debit Card Purchase Lyft  lyft.com Ca,5
Jun-06,20,Card Free ATM W/D 1900 E 9TH St Cleveland,5
Jun-07,8.58,POS Purchase Heinen's Groce Cleveland Oh,1
Jun-08,2.1,7528 Debit Card Purchase,2
Jun-08,2.1,7528 Debit Card Purchase,2
Jun-08,1.6,7528 Debit Card Purchase Flgc Vending,2
Jun-12,10.28,POS Purchase Fresh Thyme #3 Westlake Oh,2
Jun-13,23,7528 Debit Card Purchase Marinos Hair,5
Jun-14,3.01,7528 Debit Card Purchase Rascal House,2
Jun-07,81.62,Web Pmt Recur- Payment Deserve Inc,2
May-17,5.5,7528 Debit Card Purchase Tst* Luna Bakery &,2
May-17,24.77,7528 Debit Card Purchase DD Doordash,2
May-17,7.99,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-20,8.24,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-20,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-20,6.79,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-20,17.9,7528 Debit Card Purchase DD Doordash,2
May-20,62.11,7528 Debit Card Purchase DD Doordash,2
May-20,4.95,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-20,62.11,7528 Debit Card Purchase DD Doordash,2
May-20,10.21,7528 Debit Card Purchase Subway 47775,2
May-20,8.2,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-21,38.43,7528 Debit Card Purchase Rumi`s Market,2
May-21,3.25,7528 Debit Card Purchase Tst* Aladdin's,2
May-21,13.02,7528 Debit Card Purchase DD Doordash,2
May-22,32.45,7528 Debit Card Purchase DD Doordash,2
May-22,4.89,7528 Debit Card Purchase Brueggers 3786,2
May-22,7.08,7528 Debit Card Purchase Brueggers 3786,2
May-22,6.85,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-23,11.15,7528 Debit Card Purchase Chipotle 3828,2
May-28,9.89,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-28,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-28,11.4,7528 Debit Card Purchase Tst* Saucy Brew,2
May-28,10.69,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-28,19.99,7528 Debit Card Purchase Rumi`s Market,1
May-28,2.29,7528 Debit Card Purchase Rumi`s Market,1
May-28,10.62,7528 Debit Card Purchase Tst* Luna Bakery &,2
May-28,12.54,7528 Debit Card Purchase DD Doordash,2
May-29,62.11,7528 Debit Card Purchase DD Doordash,2
May-29,13.08,POS Purchase Cedar Hill Rac Cleveland Oh,2
May-29,6.95,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-31,56.58,7528 Debit Card Purchase DD Doordash,2
Jun-03,10.25,7528 Debit Card Purchase Tst* Aladdin's,2
Jun-03,9.91,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-03,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jun-03,7.47,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-03,14.42,7528 Debit Card Purchase DD Doordash,2
Jun-03,27.19,7528 Debit Card Purchase DD Doordash,2
Jun-03,7.77,7528 Recurring Debit Card Google  650-,5
Jun-03,48.85,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-03,28.84,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-03,32.68,7528 Debit Card Purchase DD Doordash,2
Jun-04,12.89,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-04,25.25,7528 Debit Card Purchase Subway 47302,2
Jun-05,10.78,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-06,82.67,7528 Debit Card Purchase Walmart.Com,1
Jun-06,56.59,7528 Debit Card Purchase DD Doordash,2
Jun-06,12.86,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-07,37.74,7528 Debit Card Purchase Pp*Bombay Chaat,2
Jun-07,15.78,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-10,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jun-10,14.42,7528 Debit Card Purchase DD Doordash,2
Jun-10,153.8,7528 Debit Card Purchase Crowdfund*,1
Jun-10,6.85,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Jun-10,4.61,Intl Purch & Adv Fee   Vis 0608              Gb,5
Jun-11,57.19,7528 Debit Card Purchase DD Doordash,2
Jun-12,99,7528 Recurring Debit Card Unitedhealthcare,5
Jun-17,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jun-17,8.16,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-17,67.61,7528 Debit Card Purchase DD Doordash,2
Jun-17,11.59,POS Purchase Cedar Hill Rac Cleveland Oh,2
Jun-17,9.29,7528 Debit Card Purchase Subway 47775,2
Jun-17,5.69,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-17,3.5,Zelle To  Kaseem Abdullah,2
May-20,37.78,Web Pmt- Internet,5
May-31,3.5,Zelle To  Kaseem Abdullah,2
Jun-05,759.25,Zel To Cleveland Premium Rentals,4
Jun-07,58.16,Web Pmt Recur- Payment Deserve Inc,1
Jun-17,603.99,Web Pmt- Remittance Remitly Inc,6
Jun-17,177.76,Web Pmt- ACH Pmt Amex Epayment M8124,5
Feb-26,100,Zel From Ornela B Doris,9
Mar-04,80,Zel From Ornela B Doris,9
Feb-20,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Feb-20,18.88,7528 Debit Card Purchase DD Doordash,2
Feb-20,23.51,7528 Debit Card Purchase DD Doordash,2
Feb-21,403,7528 Debit Card Purchase Paypal *Khan,1
Feb-23,36.8,7528 Debit Card Purchase Rumis Market &,1
Feb-26,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Feb-26,17.48,POS Purchase Cedar Hill Rac Cleveland Oh,2
Feb-27,54.45,7528 Debit Card Purchase DD Doordash,2
Feb-29,31.27,7528 Debit Card Purchase DD Doordash,2
Feb-29,4.11,7528 Debit Card Purchase DD Doordash,2
Feb-29,29.63,7528 Debit Card Purchase DD Doordash,2
1-Mar,29.54,7528 Debit Card Purchase DD Doordash,2
Mar-04,6.49,7528 Recurring Debit Card Google,5
Mar-04,34.38,7528 Debit Card Purchase DD Doordash,2
Mar-04,28.93,7528 Debit Card Purchase DD Doordash,2
Mar-04,223.06,7528 Debit Card Purchase Paypal *Khan,1
Mar-05,25.3,7528 Debit Card Purchase Paypal *Khan,1
Mar-06,50.44,7528 Debit Card Purchase Tst* Aladdin's,2
Mar-07,77.92,7528 Debit Card Purchase DD Doordash,2
Mar-08,50,7528 Debit Card Purchase Paypal *Khan,5
Mar-11,32.76,7528 Debit Card Purchase DD Doordash,2
Mar-11,10,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Mar-11,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Mar-11,21.4,7528 Debit Card Purchase DD Doordash,2
Mar-11,29.54,7528 Debit Card Purchase DD Doordash,2
Mar-12,68.9,7528 Debit Card Purchase Fh* Sam Cobb,2
Mar-18,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Mar-18,18.88,7528 Debit Card Purchase DD Doordash,2
Mar-18,59.59,7528 Debit Card Purchase DD Doordash,2
Feb-23,3.5,Zelle To  Kaseem Abdullah,2
Mar-07,33.26,Web Pmt Recur- Payment Deserve Inc,5
Mar-11,748.28,Zel To Cleveland Premium Rentals,4
Mar-11,611.3,Web Pmt- Remittance Remitly Inc,6
Mar-18,64.94,Web Pmt- ACH Pmt Amex Epayment M1530,8
Apr-22,451,Direct Deposit - Taxrefunds,9
Apr-18,26.12,7528 Debit Card Purchase DD Doordash,2
Apr-22,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Apr-22,15.41,7528 Debit Card Purchase Tst* Build The Pho,2
Apr-22,5.1,7528 Debit Card Purchase Tst* Build The Pho,2
Apr-22,34.38,7528 Debit Card Purchase DD Doordash,2
Apr-22,10.44,7528 Debit Card Purchase DD Doordash,2
Apr-22,41.05,7528 Debit Card Purchase N Mart  Cleveland,1
Apr-23,20.99,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Apr-23,11.85,7528 Debit Card Purchase Subway 47775,2
Apr-23,7.5,7528 Debit Card Purchase Tst* Beyond,2
Apr-23,17.88,7528 Debit Card Purchase DD Doordash,2
Apr-24,13.81,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Apr-24,1.6,7528 Debit Card Purchase Flgc Vending,2
Apr-24,24.65,7528 Debit Card Purchase Cafe Ah-Roma-,2
Apr-24,14.72,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Apr-24,31.04,7528 Debit Card Purchase DD Doordash,2
Apr-25,17.88,7528 Debit Card Purchase DD Doordash,2
Apr-29,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Apr-29,34.38,7528 Debit Card Purchase DD Doordash,2
Apr-29,17.9,7528 Debit Card Purchase DD Doordash,2
Apr-30,31.78,7528 Debit Card Purchase DD Doordash,2
Apr-30,5.13,7528 Debit Card Purchase Ba C-Store Cafe,2
1-May,9.45,7528 Debit Card Purchase Chipotle 3828,2
May-02,7.77,7528 Recurring Debit Card Google,5
May-03,9.29,7528 Debit Card Purchase Subway 47775,2
May-06,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-06,54.8,7528 Debit Card Purchase Cle Fairfax,2
May-06,29.93,7528 Debit Card Purchase DD Doordash,2
May-06,5.69,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-07,18.98,7528 Debit Card Purchase DD Doordash,2
May-07,34.79,7528 Debit Card Purchase DD Doordash,2
May-08,10.21,7528 Debit Card Purchase Subway 47775,2
May-08,6.95,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-09,62.61,7528 Debit Card Purchase DD Doordash,2
May-10,27.52,7528 Debit Card Purchase Tst* Luna Bakery &,2
May-10,32.1,7528 Debit Card Purchase DD Doordash,2
May-13,8.54,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-13,50,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-13,30,7528 Debit Card Purchase Paypal *Khan,5
May-13,17.9,7528 Debit Card Purchase DD Doordash,2
May-13,18.15,7528 Debit Card Purchase Tst* Beyond,2
May-13,9.29,7528 Debit Card Purchase Subway 47775,2
May-13,12.75,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-13,72.32,POS Purchase T J Maxx #875 South Euclid,5
May-13,10.21,7528 Debit Card Purchase Tst* Milky Way -,2
May-14,13.82,7528 Debit Card Purchase Lyft  Lyft.Com Ca,2
May-14,7.99,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-14,11.59,POS Purchase Cedar Hill Rac Cleveland Oh,2
May-15,10.25,7528 Debit Card Purchase Tst* Aladdin's,2
May-15,9.59,7528 Debit Card Purchase Brueggers 3786,2
May-15,14.32,7528 Debit Card Purchase DD Doordash,2
May-15,8.58,7528 Debit Card Purchase DD Doordash,2
May-16,9.45,7528 Debit Card Purchase Chipotle 3828,2
May-16,7.88,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Apr-19,500,Zel To Aaqib Mohammed,7
Apr-22,485.99,Web Pmt- Remittance Remitly Inc,6
May-02,754.17,Zel To Cleveland Premium Rentals,4
May-07,171.95,Web Pmt Recur- Payment Deserve Inc,1
May-09,15.98,Web Pmt- Internet,5
May-13,50,Web Pmt- IAT Paypal Bdair Ali,3
May-14,43.19,Web Pmt- Internet,5
May-15,66.96,Web Pmt- ACH Pmt Amex Epayment M3888,8
Oct-30,8.04,Corporate ACH Payments,5
Oct-20,35,7528 Debit Card Purchase Sq *Cl Barber,5
Oct-20,22,7528 Debit Card Purchase Amk Clevest Viking,5
Oct-23,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Oct-23,7.54,POS Purchase Walgreens Stor Cleveland He,2
Oct-23,11.7,7528 Debit Card Purchase Starbucks Store,2
Oct-23,2.49,POS Purchase Cedar Hill Rac Cleveland Oh,2
Oct-23,14.5,7528 Debit Card Purchase Chipotle 3828,2
Oct-23,20,7528 Debit Card Purchase Paypal *Khan,2
Oct-23,29.49,POS Purchase Dollar General Cleveland He,2
Oct-24,9.45,7528 Debit Card Purchase Chipotle 3828,2
Oct-24,29.82,7528 Debit Card Purchase Domino's 2145,2
Oct-24,1.84,POS Purchase Dollar General Cleveland He,2
Oct-26,5,7528 Debit Card Purchase Sq *Philipe,5
Oct-26,41.57,7528 Debit Card Purchase Tst* Indian Flame,2
Oct-27,5.75,7528 Debit Card Purchase Starbucks Store,2
Oct-27,9.45,7528 Debit Card Purchase Chipotle 3828,2
Oct-30,45.89,7528 Debit Card Purchase Lyft  855-8659553,5
Oct-30,49.99,7528 Debit Card Purchase Lyft  855-8659553,5
Oct-30,8.99,7528 Debit Card Purchase Lyft  855-8659553,5
Oct-30,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Oct-30,11.15,7528 Debit Card Purchase Chipotle 3828,2
Oct-30,6.68,POS Purchase Cedar Hill Rac Cleveland Oh,2
Oct-30,4.85,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Oct-30,33,7528 Debit Card Purchase Paypal *Khan,5
Oct-30,8.25,7528 Debit Card Purchase Ba C-Store Cafe,2
Oct-31,2.49,POS Purchase Cedar Hill Rac Cleveland Oh,2
1-Nov,8.83,POS Purchase Cedar Hill Rac Cleveland Oh,2
Nov-02,11.8,7528 Debit Card Purchase Tst* Barrio -,2
Nov-02,18.49,7528 Recurring Debit Card Google,5
Nov-02,5,POS Purchase Cedar Hill Rac Cleveland Oh,2
Nov-03,33.85,7528 Debit Card Purchase Tst* Chopstick,2
Nov-03,9.45,7528 Debit Card Purchase Chipotle 3828,2
Nov-06,4.85,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Nov-06,17.49,7528 Debit Card Purchase Tst* Indian Flame,2
Nov-06,3.85,7528 Debit Card Purchase Ba C-Store Cafe,2
Nov-06,67.08,7528 Debit Card Purchase Lao Sze Chuan,2
